SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
0,0.5295168029999999,45,0,0.560221989,6666.0,10,0,2,0,0.0
0,0.005987364,67,0,0.00419916,5000.0,10,0,0,0,0.0
0,0.072182249,38,0,0.36072785399999996,5000.0,7,0,1,0,3.0
0,0.0,48,0,0.244309959,7600.0,14,0,1,0,1.0
0,0.040761415,63,0,105.0,,12,0,0,0,
0,0.482744749,34,0,932.0,,4,0,0,0,1.0
0,0.048365054000000005,55,0,285.0,,4,0,0,0,0.0
0,0.8634230490000001,65,0,4697.0,,17,0,0,0,2.0
0,0.9999998999999999,64,0,395.0,,1,0,0,1,0.0
0,0.595800233,42,1,0.517901453,2820.0,4,0,1,0,2.0
0,0.9999998999999999,46,2,0.7926727729999999,1200.0,3,2,1,1,3.0
0,0.108480265,58,0,0.39859320000000004,2558.0,6,0,1,0,0.0
0,0.12206712199999999,55,0,897.0,,7,0,2,0,2.0
0,0.089437271,48,0,0.552978808,5001.0,14,0,2,0,4.0
0,0.807705824,51,0,0.477252275,10000.0,12,0,2,0,1.0
0,0.0,36,0,0.10805908300000001,3858.0,3,0,1,0,2.0
0,0.448646174,43,0,0.2173417,1752.0,4,0,0,0,0.0
0,0.03509649,47,0,255.0,,4,0,0,0,0.0
0,0.44282984799999997,39,1,0.951219512,2992.0,4,0,1,0,2.0
0,0.152825079,54,2,0.35117118799999997,10800.0,18,0,2,0,2.0
1,0.08514305400000001,43,0,7.0,,1,1,0,1,0.0
0,0.36572111700000004,40,0,0.039230479,2650.0,5,0,0,0,1.0
0,0.007664860999999999,42,0,0.064223386,8594.0,4,0,0,0,2.0
0,0.200660586,34,0,2830.0,,8,0,2,0,0.0
0,0.149963622,48,0,0.39523023799999996,13333.0,8,0,1,0,0.0
0,0.084535372,67,0,55.0,,5,0,0,0,0.0
0,0.008525867,34,0,0.049606017,5583.0,8,0,0,0,0.0
0,0.12963875800000002,25,2,0.051189762,5000.0,9,0,0,1,1.0
1,0.6294820720000001,30,0,4094.0,,7,0,3,0,0.0
1,1.112273147,49,1,0.33139050800000003,1200.0,4,0,0,0,2.0
0,0.933008946,52,1,0.467559648,21500.0,12,0,4,0,0.0
0,0.9999998999999999,80,0,0.463896104,1924.0,5,1,1,0,0.0
0,0.014258644,78,0,0.11037735800000001,4239.0,8,0,0,0,0.0
1,0.84180791,43,3,0.44231570200000003,2400.0,5,0,0,0,0.0
0,0.017636813,69,0,0.018691588999999998,3958.0,11,0,0,0,0.0
0,0.002707774,48,0,3997.0,,8,0,1,0,
0,0.0,29,0,0.0,2900.0,4,0,0,0,0.0
0,0.40269718600000004,51,2,0.184437028,5692.0,5,0,0,0,3.0
1,0.326416514,44,0,0.358511525,3600.0,11,0,0,0,0.0
0,0.0,81,0,0.0,,4,0,0,0,0.0
0,0.048632523,58,0,2793.0,,11,0,1,0,0.0
0,0.8430637390000001,45,1,960.0,,10,0,1,1,1.0
0,0.636629703,45,1,0.525286868,4705.0,11,0,1,0,2.0
0,0.9999998999999999,41,0,0.255565863,2155.0,3,0,1,0,1.0
0,0.32078877899999997,73,0,0.6597462510000001,2600.0,7,0,1,0,0.0
0,0.000730957,64,0,23.0,,20,0,0,0,0.0
0,0.23901984399999998,56,0,0.364987797,4506.0,9,0,1,0,3.0
0,0.458251507,61,0,2240.0,,11,0,2,0,0.0
0,0.069294143,68,0,106.0,,4,0,0,0,0.0
0,0.44125267,38,0,0.8834853090000001,2960.0,8,0,2,0,4.0
0,0.032720404,72,0,17.0,,7,0,0,0,
0,0.036235705,64,0,0.09495569699999999,14332.0,5,0,1,0,0.0
0,0.159823944,63,0,828.0,,6,0,1,0,0.0
0,0.20350206699999998,52,0,0.062566278,6600.0,6,0,0,0,1.0
0,0.031659367,60,0,0.170069855,7443.0,11,0,1,0,3.0
0,0.9999998999999999,75,0,2591.0,,9,0,2,0,0.0
0,0.005912265,50,0,0.363751184,9500.0,8,0,1,0,4.0
0,0.08900446099999999,63,0,0.108294585,6666.0,5,0,1,0,0.0
0,0.710675906,44,0,2204.0,,5,0,1,0,2.0
0,0.9999998999999999,33,0,0.0,3375.0,1,0,0,0,3.0
0,0.10425358,52,0,3807.0,,8,0,2,0,1.0
0,0.9999998999999999,63,0,0.17680237899999998,9750.0,7,0,2,0,1.0
0,0.5108811879999999,39,3,3.702552719,900.0,25,0,1,0,0.0
0,0.25615923399999996,61,0,0.40276124700000004,4200.0,11,0,0,0,0.0
0,0.118939459,48,0,0.540762614,7788.0,5,0,3,0,5.0
0,0.48500345799999994,35,2,0.792488517,3700.0,14,0,2,0,2.0
0,0.17916416699999999,41,1,0.830141549,1200.0,4,0,2,0,0.0
0,0.0,68,0,0.0,,3,0,0,0,
0,0.065751626,59,0,0.191137045,19022.0,10,0,2,0,2.0
0,0.043865673,46,0,0.143952141,5348.0,10,0,1,0,0.0
0,0.770191507,24,0,0.141868512,2600.0,3,0,0,0,0.0
0,0.015232204,41,0,0.146155245,5500.0,9,0,0,0,4.0
0,0.067191828,73,0,4693.0,,8,0,2,0,0.0
0,0.018375646000000002,59,0,0.008951528,10500.0,16,0,0,0,0.0
0,0.583731772,63,1,2394.0,,7,0,0,0,1.0
0,0.417991292,47,1,0.427618806,11846.0,17,0,4,0,1.0
1,0.9999998999999999,50,4,2432.0,,7,0,2,1,3.0
0,0.10694733,56,0,1.244889988,7680.0,22,0,3,0,1.0
0,0.963969062,34,0,0.386666667,4049.0,7,0,1,0,2.0
0,0.32016749,51,0,0.21199547300000002,2650.0,3,0,1,0,0.0
0,0.9511755359999999,52,0,2695.0,,24,0,0,0,1.0
0,0.15698953400000001,57,0,0.015264466,5633.0,6,0,0,0,0.0
0,0.045347797999999995,35,0,0.17598400100000003,11000.0,14,0,1,0,0.0
1,0.156745116,33,0,1.156445267,4320.0,8,0,2,0,0.0
1,0.0,39,0,0.039619165,3255.0,1,7,0,0,0.0
0,0.006816846999999999,67,0,0.416597234,6000.0,13,0,3,0,0.0
0,0.016075623,81,0,0.018502944,2377.0,10,0,1,0,0.0
0,0.038512162,44,1,0.090272763,18000.0,10,0,2,0,1.0
0,0.731925765,65,0,0.41609719100000003,3950.0,10,0,0,0,0.0
0,0.23987476,52,0,0.55381413,8166.0,13,0,2,0,0.0
0,0.9999998999999999,29,0,0.0,2800.0,1,0,0,0,0.0
0,0.183049785,35,0,0.057859880999999995,5737.0,11,0,0,0,1.0
0,0.016207658,64,0,0.320419895,4000.0,5,0,1,0,0.0
0,0.044177802,90,0,13.0,,4,0,0,0,
0,0.9999998999999999,53,0,0.0,,6,0,0,0,0.0
0,0.370349005,48,1,0.87807928,7996.0,9,1,4,0,3.0
0,0.014306857,31,0,0.521194348,3750.0,6,0,2,0,1.0
0,0.09259139,60,0,0.34714762299999996,17686.0,6,0,1,0,0.0
0,0.9999998999999999,43,0,0.9360942520000001,2800.0,6,0,2,0,0.0
0,0.09167036099999999,33,0,2.021978022,1000.0,5,0,1,0,0.0
0,0.12215207199999999,70,0,0.08748541900000001,6000.0,5,0,0,0,0.0
0,0.36970421,53,2,1.364978195,2980.0,13,1,4,0,0.0
0,0.015699477,60,0,0.590939374,1500.0,3,0,1,0,0.0
0,0.055420351,59,1,2215.0,,8,0,1,0,0.0
0,0.056351284,70,0,0.224481152,7082.0,7,0,2,0,0.0
0,0.7700388000000001,63,1,0.58612814,8318.0,15,0,2,0,1.0
0,0.9999998999999999,56,98,0.0,7781.0,0,98,0,98,5.0
0,0.09860954,48,0,0.26446281,3750.0,5,0,1,0,0.0
0,0.99000999,35,1,1254.0,,10,1,0,0,0.0
0,0.002352757,27,0,0.16793282699999998,2500.0,7,0,0,0,0.0
